Ex_ID,Best_cost,Constr_cost,Travel_time,Best_lane,Best_station,Best_iter,CPU_time,TM,SM,LO,L1,L2,L3,L4,L5,L6,L7,bike flow,acc_time
Ex 8,274822411.9865179,59000,13738.170599325895,[0 0 1 0 1 1],[1 1 1],52,18.739238500595093,"{'L0': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L1': {'L0': 1, 'L1': 2, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 2, 'L6': 1, 'L7': 1}, 'L2': {'L0': 1, 'L1': 3, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L3': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 3, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L5': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L6': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 2, 'L5': 1, 'L6': 1, 'L7': 2}, 'L7': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 2, 'L5': 1, 'L6': 1, 'L7': 1}}","{'L0': {'CONTINUE': 1, 'STOP': 1}, 'L1': {'CONTINUE': 4, 'STOP': 3}, 'L2': {'CONTINUE': 3, 'STOP': 4}, 'L3': {'CONTINUE': 1, 'STOP': 1}, 'L4': {'CONTINUE': 3, 'STOP': 2}, 'L5': {'CONTINUE': 2, 'STOP': 2}, 'L6': {'CONTINUE': 4, 'STOP': 1}, 'L7': {'CONTINUE': 2, 'STOP': 1}}",41,56,45,38,50,40,42,23,"{'N001': {'N002': 599.248347944854, 'N003': 537.289221081208}}","[0, 6, 14, 32, 34, 35, 39, 52]"
Ex 8,274565217.3797474,44000,13726.06086898737,[0 0 0 0 1 1],[1 1 1],62,14.280568361282349,"{'L0': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L1': {'L0': 1, 'L1': 2, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 1}, 'L2': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 2}, 'L3': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L5': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 2}, 'L6': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 2, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L7': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 1}}","{'L0': {'CONTINUE': 1, 'STOP': 1}, 'L1': {'CONTINUE': 3, 'STOP': 1}, 'L2': {'CONTINUE': 3, 'STOP': 2}, 'L3': {'CONTINUE': 2, 'STOP': 1}, 'L4': {'CONTINUE': 1, 'STOP': 1}, 'L5': {'CONTINUE': 2, 'STOP': 1}, 'L6': {'CONTINUE': 2, 'STOP': 3}, 'L7': {'CONTINUE': 2, 'STOP': 2}}",43,46,41,48,37,44,39,37,"{'N001': {'N002': 591.0486955669048, 'N003': 534.1033087041124}}","[0, 3, 6, 61, 62]"
Ex 8,279551010.84421676,24000,13976.350542210837,[0 0 0 0 1 0],[1 1 1],1,17.302969694137573,"{'L0': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L1': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L2': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L3': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 1}, 'L5': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L6': {'L0': 1, 'L1': 2, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 1}, 'L7': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}}","{'L0': {'CONTINUE': 1, 'STOP': 1}, 'L1': {'CONTINUE': 2, 'STOP': 1}, 'L2': {'CONTINUE': 1, 'STOP': 2}, 'L3': {'CONTINUE': 1, 'STOP': 1}, 'L4': {'CONTINUE': 2, 'STOP': 1}, 'L5': {'CONTINUE': 1, 'STOP': 1}, 'L6': {'CONTINUE': 3, 'STOP': 1}, 'L7': {'CONTINUE': 1, 'STOP': 1}}",44,46,49,40,38,38,51,32,"{'N001': {'N002': 583.7319010951768, 'N003': 475.6647790905465}}","[0, 1]"
Ex 8,274929538.3624048,59000,13743.526918120242,[0 0 0 1 1 1],[1 1 1],12,19.027841567993164,"{'L0': {'L0': 1, 'L1': 2, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L1': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L2': {'L0': 1, 'L1': 2, 'L2': 2, 'L3': 1, 'L4': 2, 'L5': 1, 'L6': 1, 'L7': 1}, 'L3': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 2, 'L5': 1, 'L6': 1, 'L7': 1}, 'L4': {'L0': 1, 'L1': 2, 'L2': 3, 'L3': 2, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L5': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L6': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L7': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}}","{'L0': {'CONTINUE': 2, 'STOP': 1}, 'L1': {'CONTINUE': 2, 'STOP': 3}, 'L2': {'CONTINUE': 4, 'STOP': 2}, 'L3': {'CONTINUE': 2, 'STOP': 1}, 'L4': {'CONTINUE': 5, 'STOP': 2}, 'L5': {'CONTINUE': 1, 'STOP': 1}, 'L6': {'CONTINUE': 1, 'STOP': 1}, 'L7': {'CONTINUE': 1, 'STOP': 1}}",31,50,60,40,58,41,22,18,"{'N001': {'N002': 594.2095306815638, 'N003': 538.0047300010349}}","[0, 1, 6, 9, 12]"
Ex 8,274822411.9865179,59000,13738.170599325895,[0 0 1 0 1 1],[1 1 1],52,13.11150050163269,"{'L0': {'L0': 3, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 2}, 'L1': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 3}, 'L2': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 2, 'L4': 3, 'L5': 1, 'L6': 1, 'L7': 1}, 'L3': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 2, 'L6': 2, 'L7': 1}, 'L5': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L6': {'L0': 3, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L7': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}}","{'L0': {'CONTINUE': 4, 'STOP': 2}, 'L1': {'CONTINUE': 3, 'STOP': 1}, 'L2': {'CONTINUE': 4, 'STOP': 1}, 'L3': {'CONTINUE': 2, 'STOP': 1}, 'L4': {'CONTINUE': 3, 'STOP': 1}, 'L5': {'CONTINUE': 1, 'STOP': 2}, 'L6': {'CONTINUE': 3, 'STOP': 2}, 'L7': {'CONTINUE': 1, 'STOP': 4}}",53,47,30,34,43,38,36,28,"{'N001': {'N002': 599.248347944854, 'N003': 537.289221081208}}","[0, 1, 2, 16, 19, 35, 52]"
Ex 8,277558368.26250786,29000,13876.468413125393,[0 0 0 0 0 1],[1 1 1],63,15.86644697189331,"{'L0': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L1': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 2, 'L6': 1, 'L7': 1}, 'L2': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 1}, 'L3': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 2, 'L6': 1, 'L7': 1}, 'L5': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 2, 'L5': 1, 'L6': 2, 'L7': 1}, 'L6': {'L0': 2, 'L1': 2, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 3, 'L7': 1}, 'L7': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}}","{'L0': {'CONTINUE': 2, 'STOP': 2}, 'L1': {'CONTINUE': 3, 'STOP': 2}, 'L2': {'CONTINUE': 3, 'STOP': 4}, 'L3': {'CONTINUE': 2, 'STOP': 1}, 'L4': {'CONTINUE': 2, 'STOP': 1}, 'L5': {'CONTINUE': 3, 'STOP': 1}, 'L6': {'CONTINUE': 5, 'STOP': 2}, 'L7': {'CONTINUE': 1, 'STOP': 1}}",41,44,52,36,37,49,42,25,"{'N001': {'N002': 538.0783203617757, 'N003': 540.0382676710773}}","[0, 5, 8, 21, 50, 54, 63]"
Ex 8,277558368.26250786,29000,13876.468413125393,[0 0 0 0 0 1],[1 1 1],2,14.117848634719849,"{'L0': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L1': {'L0': 2, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L2': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L3': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L5': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L6': {'L0': 1, 'L1': 2, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L7': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}}","{'L0': {'CONTINUE': 1, 'STOP': 2}, 'L1': {'CONTINUE': 2, 'STOP': 1}, 'L2': {'CONTINUE': 1, 'STOP': 1}, 'L3': {'CONTINUE': 1, 'STOP': 1}, 'L4': {'CONTINUE': 1, 'STOP': 1}, 'L5': {'CONTINUE': 1, 'STOP': 1}, 'L6': {'CONTINUE': 2, 'STOP': 1}, 'L7': {'CONTINUE': 1, 'STOP': 1}}",42,41,38,57,54,49,53,31,"{'N001': {'N002': 538.0783203617757, 'N003': 540.0382676710773}}","[0, 2]"
Ex 8,274565217.3797474,44000,13726.06086898737,[0 0 0 0 1 1],[1 1 1],15,21.205596685409546,"{'L0': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L1': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 2, 'L6': 2, 'L7': 1}, 'L2': {'L0': 1, 'L1': 4, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L3': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L5': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 2, 'L5': 1, 'L6': 1, 'L7': 1}, 'L6': {'L0': 1, 'L1': 2, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 2}, 'L7': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}}","{'L0': {'CONTINUE': 1, 'STOP': 1}, 'L1': {'CONTINUE': 3, 'STOP': 3}, 'L2': {'CONTINUE': 4, 'STOP': 2}, 'L3': {'CONTINUE': 1, 'STOP': 1}, 'L4': {'CONTINUE': 2, 'STOP': 1}, 'L5': {'CONTINUE': 2, 'STOP': 1}, 'L6': {'CONTINUE': 3, 'STOP': 1}, 'L7': {'CONTINUE': 1, 'STOP': 2}}",43,55,49,44,41,35,47,27,"{'N001': {'N002': 591.0486955669048, 'N003': 534.1033087041124}}","[0, 1, 2, 3, 15]"
Ex 8,287254101.2844657,59000,14359.755064223284,[0 1 0 0 1 1],[1 1 1],10,16.78271198272705,"{'L0': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L1': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 3}, 'L2': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L3': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 2, 'L6': 2, 'L7': 2}, 'L5': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 2, 'L5': 1, 'L6': 1, 'L7': 1}, 'L6': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L7': {'L0': 1, 'L1': 3, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}}","{'L0': {'CONTINUE': 1, 'STOP': 1}, 'L1': {'CONTINUE': 3, 'STOP': 2}, 'L2': {'CONTINUE': 1, 'STOP': 2}, 'L3': {'CONTINUE': 1, 'STOP': 1}, 'L4': {'CONTINUE': 4, 'STOP': 2}, 'L5': {'CONTINUE': 2, 'STOP': 1}, 'L6': {'CONTINUE': 2, 'STOP': 1}, 'L7': {'CONTINUE': 3, 'STOP': 2}}",42,49,46,44,47,50,44,34,"{'N001': {'N002': 739.1063905307066, 'N003': 648.676678524577}}","[0, 1, 6, 9, 10]"
Ex 8,274822411.9865179,59000,13738.170599325895,[0 0 1 0 1 1],[1 1 1],94,13.007732152938843,"{'L0': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L1': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 1}, 'L2': {'L0': 1, 'L1': 2, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L3': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 2, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L5': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L6': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L7': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}}","{'L0': {'CONTINUE': 1, 'STOP': 1}, 'L1': {'CONTINUE': 3, 'STOP': 2}, 'L2': {'CONTINUE': 3, 'STOP': 3}, 'L3': {'CONTINUE': 2, 'STOP': 2}, 'L4': {'CONTINUE': 2, 'STOP': 1}, 'L5': {'CONTINUE': 1, 'STOP': 1}, 'L6': {'CONTINUE': 1, 'STOP': 2}, 'L7': {'CONTINUE': 1, 'STOP': 1}}",47,52,54,39,34,50,46,35,"{'N001': {'N002': 599.248347944854, 'N003': 537.289221081208}}","[0, 1, 3, 9, 58, 94]"
