Ex_ID,Best_cost,Constr_cost,Travel_time,Best_lane,Best_station,Best_iter,CPU_time,FW_time
Ex 8,246325565,59000,12313.32825,[1. 0. 1. 1. 0. 0.],[1. 2. 3.],3,2.0381386280059814,2.0371222496032715
Ex 8,246447322,79000,12318.4161,[1. 0. 1. 1. 0. 1.],[1. 2. 3.],8,2.0621721744537354,2.012272596359253
Ex 8,246447322,79000,12318.4161,[1. 0. 1. 1. 0. 1.],[1. 2. 3.],10,2.083798885345459,2.072800636291504
Ex 8,250844037,44000,12540.00185,[1. 0. 1. 0. 0. 0.],[1. 2. 3.],2,2.048118829727173,2.0361063480377197
Ex 8,246447322,79000,12318.4161,[1. 0. 1. 1. 0. 1.],[1. 2. 3.],2,2.214740514755249,2.1664838790893555
Ex 8,269213729,56000,13457.88645,[0. 0. 1. 0. 1. 1.],[1. 2. 0.],3,2.272671937942505,2.266674757003784
Ex 8,247420908,60000,12368.0454,[1. 0. 1. 1. 0. 0.],[1. 2. 4.],8,2.1081702709198,2.1047115325927734
Ex 8,253349352,45000,12665.2176,[1. 0. 0. 1. 0. 0.],[1. 4. 3.],0,2.4974491596221924,2.473367929458618
Ex 8,250844037,44000,12540.00185,[1. 0. 1. 0. 0. 0.],[1. 2. 3.],0,2.0744519233703613,2.03024959564209
Ex 8,246447322,79000,12318.4161,[1. 0. 1. 1. 0. 1.],[1. 2. 3.],7,2.1824023723602295,2.172344207763672
