Ex_ID,Best_cost,Constr_cost,Travel_time,Best_lane,Best_station,Best_iter,CPU_time,TM,SM,LO,L1,L2,L3,L4,FW_time
Ex 8,246325565.4452242,59000.0,12313.32827226121,[1 0 1 1 0 0],[1 2 3],29,2.0287513732910156,"{'L0': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 2}, 'L1': {'L0': 2, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1}, 'L2': {'L0': 4, 'L1': 3, 'L2': 1, 'L3': 1, 'L4': 1}, 'L3': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1}}","{'L0': {'STOP': 3, 'CONTINUE': 4}, 'L1': {'STOP': 2, 'CONTINUE': 2}, 'L2': {'STOP': 6, 'CONTINUE': 1}, 'L3': {'STOP': 1, 'CONTINUE': 1}, 'L4': {'STOP': 1, 'CONTINUE': 2}}",79,72,70,61,61,1.985520362854004
Ex 8,246447322.5886995,79000.0,12318.416129434974,[1 0 1 1 0 1],[1 2 3],35,1.7601613998413086,"{'L0': {'L0': 2, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1}, 'L1': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1}, 'L2': {'L0': 2, 'L1': 1, 'L2': 1, 'L3': 2, 'L4': 1}, 'L3': {'L0': 2, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1}}","{'L0': {'STOP': 3, 'CONTINUE': 3}, 'L1': {'STOP': 1, 'CONTINUE': 1}, 'L2': {'STOP': 3, 'CONTINUE': 3}, 'L3': {'STOP': 3, 'CONTINUE': 1}, 'L4': {'STOP': 1, 'CONTINUE': 1}}",72,58,72,88,29,1.74320387840271
Ex 8,247645435.76329285,80000.0,12378.271788164642,[1 0 1 1 0 1],[1 4 3],96,1.8537888526916504,"{'L0': {'L0': 3, 'L1': 4, 'L2': 2, 'L3': 2, 'L4': 1}, 'L1': {'L0': 2, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1}, 'L2': {'L0': 2, 'L1': 1, 'L2': 2, 'L3': 3, 'L4': 2}, 'L3': {'L0': 1, 'L1': 2, 'L2': 2, 'L3': 1, 'L4': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1}}","{'L0': {'STOP': 8, 'CONTINUE': 3}, 'L1': {'STOP': 2, 'CONTINUE': 5}, 'L2': {'STOP': 6, 'CONTINUE': 2}, 'L3': {'STOP': 3, 'CONTINUE': 2}, 'L4': {'STOP': 1, 'CONTINUE': 2}}",83,71,82,61,36,1.8378105163574219
Ex 8,246325565.4452242,59000.0,12313.32827226121,[1 0 1 1 0 0],[1 2 3],64,1.9191129207611084,"{'L0': {'L0': 1, 'L1': 6, 'L2': 1, 'L3': 1, 'L4': 1}, 'L1': {'L0': 2, 'L1': 1, 'L2': 1, 'L3': 3, 'L4': 1}, 'L2': {'L0': 5, 'L1': 2, 'L2': 3, 'L3': 2, 'L4': 1}, 'L3': {'L0': 1, 'L1': 1, 'L2': 4, 'L3': 1, 'L4': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1}}","{'L0': {'STOP': 6, 'CONTINUE': 4}, 'L1': {'STOP': 4, 'CONTINUE': 4}, 'L2': {'STOP': 9, 'CONTINUE': 3}, 'L3': {'STOP': 4, 'CONTINUE': 2}, 'L4': {'STOP': 1, 'CONTINUE': 1}}",69,71,85,68,21,1.872854232788086
Ex 8,246325565.4452242,59000.0,12313.32827226121,[1 0 1 1 0 0],[1 2 3],85,1.7988293170928955,"{'L0': {'L0': 1, 'L1': 3, 'L2': 2, 'L3': 1, 'L4': 2}, 'L1': {'L0': 2, 'L1': 2, 'L2': 1, 'L3': 1, 'L4': 1}, 'L2': {'L0': 5, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1}, 'L3': {'L0': 1, 'L1': 2, 'L2': 2, 'L3': 1, 'L4': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1}}","{'L0': {'STOP': 5, 'CONTINUE': 4}, 'L1': {'STOP': 3, 'CONTINUE': 3}, 'L2': {'STOP': 5, 'CONTINUE': 3}, 'L3': {'STOP': 3, 'CONTINUE': 1}, 'L4': {'STOP': 1, 'CONTINUE': 2}}",81,75,59,66,39,1.7848191261291504
Ex 8,269031321.8922569,21000.0,13450.516094612845,[0 0 0 0 1 0],[1 2 0],1,1.8128504753112793,"{'L0': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1}, 'L1': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 2, 'L4': 1}, 'L2': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1}, 'L3': {'L0': 2, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1}}","{'L0': {'STOP': 1, 'CONTINUE': 2}, 'L1': {'STOP': 2, 'CONTINUE': 1}, 'L2': {'STOP': 1, 'CONTINUE': 1}, 'L3': {'STOP': 2, 'CONTINUE': 1}, 'L4': {'STOP': 1, 'CONTINUE': 1}}",83,71,71,82,47,1.7782106399536133
Ex 8,252028664.48582757,45000.0,12599.183224291379,[1 0 1 0 0 0],[1 4 3],83,1.7308740615844727,"{'L0': {'L0': 2, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1}, 'L1': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 2}, 'L2': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1}, 'L3': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1}}","{'L0': {'STOP': 3, 'CONTINUE': 2}, 'L1': {'STOP': 2, 'CONTINUE': 1}, 'L2': {'STOP': 1, 'CONTINUE': 3}, 'L3': {'STOP': 2, 'CONTINUE': 1}, 'L4': {'STOP': 1, 'CONTINUE': 2}}",75,59,88,84,48,1.669975996017456
Ex 8,247521693.75353765,60000.0,12373.084687676883,[1 0 1 1 0 0],[1 4 3],10,1.923452377319336,"{'L0': {'L0': 2, 'L1': 2, 'L2': 2, 'L3': 1, 'L4': 1}, 'L1': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 2}, 'L2': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 2, 'L4': 1}, 'L3': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1}, 'L4': {'L0': 1, 'L1': 2, 'L2': 1, 'L3': 1, 'L4': 1}}","{'L0': {'STOP': 4, 'CONTINUE': 2}, 'L1': {'STOP': 3, 'CONTINUE': 2}, 'L2': {'STOP': 2, 'CONTINUE': 2}, 'L3': {'STOP': 1, 'CONTINUE': 2}, 'L4': {'STOP': 2, 'CONTINUE': 1}}",70,62,87,74,38,1.8988292217254639
Ex 8,247420908.49971583,60000.0,12368.045424985792,[1 0 1 1 0 0],[1 2 4],104,1.9489872455596924,"{'L0': {'L0': 2, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 2}, 'L1': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1}, 'L2': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1}, 'L3': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 2}, 'L4': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1}}","{'L0': {'STOP': 3, 'CONTINUE': 2}, 'L1': {'STOP': 1, 'CONTINUE': 1}, 'L2': {'STOP': 1, 'CONTINUE': 2}, 'L3': {'STOP': 2, 'CONTINUE': 1}, 'L4': {'STOP': 2, 'CONTINUE': 2}}",88,68,66,75,54,1.9133634567260742
Ex 8,246325565.4452242,59000.0,12313.32827226121,[1 0 1 1 0 0],[1 2 3],114,1.8740427494049072,"{'L0': {'L0': 2, 'L1': 1, 'L2': 3, 'L3': 1, 'L4': 1}, 'L1': {'L0': 4, 'L1': 1, 'L2': 1, 'L3': 2, 'L4': 2}, 'L2': {'L0': 2, 'L1': 3, 'L2': 1, 'L3': 1, 'L4': 3}, 'L3': {'L0': 1, 'L1': 2, 'L2': 1, 'L3': 1, 'L4': 1}, 'L4': {'L0': 1, 'L1': 2, 'L2': 2, 'L3': 1, 'L4': 2}}","{'L0': {'STOP': 4, 'CONTINUE': 5}, 'L1': {'STOP': 6, 'CONTINUE': 2}, 'L2': {'STOP': 6, 'CONTINUE': 3}, 'L3': {'STOP': 2, 'CONTINUE': 1}, 'L4': {'STOP': 4, 'CONTINUE': 2}}",69,68,92,68,44,1.836395263671875
