Ex_ID,Best_cost,Constr_cost,Travel_time,Best_lane,Best_station,Best_iter,CPU_time,FW_time
Ex 5,1877565348,1166500,93819.9424,"[1. 0. 1. 0. 0. 1. 1. 1. 1. 1. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0. 1. 0. 1. 1.
 1. 1. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 1. 0. 1. 0.
 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 1.
 1. 1. 0. 0.]","[ 1.  2.  0.  0.  0.  6.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 19. 20. 21. 30. 23. 24.]",8,2436.4743406772614,2423.4598054885864
Ex 5,1882213101,1190200,94051.14505,"[1. 1. 0. 1. 1. 0. 1. 1. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 0. 0.
 1. 0. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 1. 1. 1. 1. 1. 1. 0.
 0. 1. 1. 0. 1. 0. 1. 1. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 1. 1.
 0. 1. 1. 0.]","[ 1.  2.  3.  4.  5.  6.  0. 26.  0.  0.  0.  0.  0.  0.  0.  0. 17. 27.
  0.  0. 30.  0.  0. 24.]",54,1743.3686356544495,1730.323213815689
Ex 5,1771215208,1303000,88495.6104,"[1. 0. 1. 1. 1. 1. 1. 1. 0. 1. 1. 0. 1. 1. 0. 1. 0. 1. 0. 0. 1. 0. 0. 1.
 1. 1. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1. 1. 1. 0. 0.
 1. 1. 1. 0. 1. 1. 1. 0. 1. 0. 0. 1. 0. 0. 1. 1. 1. 1. 1. 1. 0. 1. 1. 0.
 1. 0. 1. 1.]","[ 1.  2.  3.  4.  0. 26.  0.  0.  0.  0.  0.  0.  0.  0.  0. 28. 28.  0.
  0.  0.  0. 30.  0. 31.]",44,2062.9262022972107,2049.1602749824524
Ex 5,2037533693,1413800,101805.99465,"[1. 1. 1. 0. 1. 1. 1. 0. 0. 1. 1. 1. 1. 0. 1. 0. 1. 0. 0. 1. 1. 1. 1. 1.
 1. 1. 1. 0. 0. 1. 0. 0. 0. 1. 1. 1. 0. 0. 1. 0. 1. 1. 1. 1. 1. 1. 0. 0.
 0. 1. 0. 0. 0. 1. 1. 0. 1. 1. 0. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1. 0. 1. 1.
 1. 1. 0. 1.]","[ 1.  0.  0.  0.  0.  0. 27.  0.  0.  0.  0.  0.  0.  0.  0. 28.  0.  0.
 29.  0. 30. 30. 23. 24.]",41,1460.3366260528564,1447.3048024177551
Ex 5,1822844758,1341000,91075.1879,"[1. 0. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 1. 0. 1. 0. 1. 1.
 0. 1. 0. 1. 0. 1. 1. 1. 0. 1. 1. 1. 0. 1. 1. 1. 1. 0. 0. 0. 0. 0. 1. 0.
 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 1. 0. 0. 0. 1. 1. 1. 1. 1. 1.
 1. 1. 0. 1.]","[ 1.  2.  0. 25.  5.  6.  7.  0.  0.  0.  0.  0.  0.  0.  0. 16. 17. 18.
 29.  0.  0.  0.  0. 24.]",69,1660.3357112407684,1647.7117857933044
Ex 5,1871491074,1024200,93523.3437,"[1. 0. 0. 1. 1. 0. 0. 0. 1. 0. 1. 1. 1. 1. 0. 1. 1. 1. 0. 0. 1. 1. 1. 1.
 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 1. 1. 1. 1. 0. 0.
 0. 0. 1. 1. 1. 1. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0.
 1. 0. 0. 0.]","[ 0.  0.  3.  4.  5.  6.  7. 26.  0.  0.  0.  0.  0.  0.  0.  0. 29.  0.
  0.  0.  0. 22. 23. 31.]",49,2011.7101519107819,1999.4615433216095
Ex 5,1745346410,1091000,87212.7705,"[0. 1. 0. 1. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 1. 1. 1. 1. 0. 1. 1. 0. 0. 0.
 0. 1. 1. 0. 0. 1. 1. 1. 1. 0. 1. 1. 0. 1. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0.
 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 1. 1. 0. 0. 1. 1. 1. 1. 1. 0. 1. 0.
 0. 0. 0. 1.]","[ 1.  2.  3.  4. 25. 26. 27.  8.  0.  0.  0.  0.  0.  0.  0. 28.  0. 18.
  0.  0. 21.  0. 23. 31.]",6,2325.35093665123,2312.5872943401337
Ex 5,1843861694,1214600,92132.3547,"[1. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0.
 1. 0. 1. 1. 0. 0. 1. 1. 1. 1. 1. 0. 0. 1. 1. 1. 1. 0. 0. 1. 1. 1. 0. 1.
 1. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1. 1. 1. 1. 1. 1. 0. 1. 0. 1. 0. 1. 1. 0.
 0. 1. 1. 1.]","[ 1.  2.  3.  4. 25. 26. 27.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 19. 20.  0.  0. 31.  0.]",62,1413.8365306854248,1400.7728888988495
Ex 5,1852041516,922900,92555.9308,"[1. 1. 1. 1. 0. 0. 1. 0. 1. 0. 1. 1. 1. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0.
 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 1. 0. 1. 1. 1. 0. 0. 1. 0. 0.
 0. 0. 1. 0. 0. 0. 0. 1. 1. 1. 0. 1. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 1. 0.
 0. 1. 0. 0.]","[ 0.  0.  0.  0. 25. 26.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 28.  0.
  0.  0. 21. 22. 31. 31.]",25,2292.6314482688904,2279.7420830726624
Ex 5,1897347138,1157500,94809.4819,"[1. 0. 0. 0. 1. 1. 0. 0. 1. 1. 1. 1. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 1. 1.
 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1. 1. 0. 1. 1. 0. 0. 1. 1. 1. 1. 1. 0. 1.
 1. 1. 0. 1. 1. 1. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1.
 0. 0. 1. 1.]","[ 1.  2.  0.  0.  0.  6. 27.  8.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 29.  0.  0.  0.  0. 31.]",64,2047.4269380569458,2034.1458644866943
