Ex_ID,Best_cost,Constr_cost,Travel_time,Best_lane,Best_station,Best_iter,CPU_time,TM,SM,LO,L1,L2,L3,L4,FW_time
Ex 5,2235433122.004897,1771800.0,111683.06610024486,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1
 1 1 0 1 1 1 1 1 1 0 0 0 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1
 0 1]",[ 0  2  0  4  0  6  7  8  9 10 11 12 13 14 15 16 17 18 29 20  0 22 23 31],1445,519.7625920772552,"{'L0': {'L0': 32, 'L1': 3, 'L2': 1, 'L3': 1, 'L4': 24}, 'L1': {'L0': 6, 'L1': 1, 'L2': 4, 'L3': 6, 'L4': 7}, 'L2': {'L0': 4, 'L1': 4, 'L2': 1, 'L3': 2, 'L4': 3}, 'L3': {'L0': 3, 'L1': 3, 'L2': 8, 'L3': 1, 'L4': 3}, 'L4': {'L0': 2, 'L1': 5, 'L2': 1, 'L3': 2, 'L4': 14}}","{'L0': {'STOP': 57, 'CONTINUE': 31}, 'L1': {'STOP': 20, 'CONTINUE': 10}, 'L2': {'STOP': 10, 'CONTINUE': 7}, 'L3': {'STOP': 14, 'CONTINUE': 6}, 'L4': {'STOP': 20, 'CONTINUE': 28}}",1131,771,736,671,827,505.51802468299866
Ex 5,2234913802.958598,2033200.0,111644.03014792991,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1
 1 1 0 1 1 1 1 1 1 1 0 0 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1]",[ 0  2  0  4  0 26  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],1190,507.68524146080017,"{'L0': {'L0': 40, 'L1': 9, 'L2': 2, 'L3': 2, 'L4': 9}, 'L1': {'L0': 15, 'L1': 2, 'L2': 1, 'L3': 1, 'L4': 6}, 'L2': {'L0': 4, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 6}, 'L3': {'L0': 2, 'L1': 6, 'L2': 1, 'L3': 1, 'L4': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 3, 'L3': 6, 'L4': 3}}","{'L0': {'STOP': 58, 'CONTINUE': 39}, 'L1': {'STOP': 21, 'CONTINUE': 8}, 'L2': {'STOP': 9, 'CONTINUE': 3}, 'L3': {'STOP': 7, 'CONTINUE': 7}, 'L4': {'STOP': 10, 'CONTINUE': 12}}",1462,873,594,587,546,493.5337882041931
Ex 5,2262616103.360531,1943400.0,113033.63516802654,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1
 1 1 0 1 1 1 1 1 1 1 0 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1
 0 1]",[ 0  2  0  4  0  6  7  8  9 10 11 12 13 14 15 28 17 18 19 20  0 30 23 24],1488,507.4540503025055,"{'L0': {'L0': 24, 'L1': 2, 'L2': 3, 'L3': 1, 'L4': 27}, 'L1': {'L0': 13, 'L1': 5, 'L2': 1, 'L3': 1, 'L4': 3}, 'L2': {'L0': 4, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 3}, 'L3': {'L0': 9, 'L1': 2, 'L2': 2, 'L3': 1, 'L4': 1}, 'L4': {'L0': 3, 'L1': 3, 'L2': 1, 'L3': 1, 'L4': 17}}","{'L0': {'STOP': 53, 'CONTINUE': 36}, 'L1': {'STOP': 19, 'CONTINUE': 7}, 'L2': {'STOP': 6, 'CONTINUE': 3}, 'L3': {'STOP': 11, 'CONTINUE': 1}, 'L4': {'STOP': 21, 'CONTINUE': 27}}",1426,637,567,503,891,493.24073243141174
Ex 5,2224795473.4598436,1941900.0,111142.67867299219,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 0 0 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1
 0 1]",[ 0  2  0  4  0  6  7  8  9 10 11 12 13 14 15 16 17 27 19 20  0 22 23 24],1439,511.68564319610596,"{'L0': {'L0': 29, 'L1': 3, 'L2': 1, 'L3': 4, 'L4': 17}, 'L1': {'L0': 14, 'L1': 1, 'L2': 1, 'L3': 5, 'L4': 3}, 'L2': {'L0': 2, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 5}, 'L3': {'L0': 1, 'L1': 2, 'L2': 7, 'L3': 1, 'L4': 2}, 'L4': {'L0': 1, 'L1': 1, 'L2': 4, 'L3': 3, 'L4': 6}}","{'L0': {'STOP': 50, 'CONTINUE': 34}, 'L1': {'STOP': 20, 'CONTINUE': 4}, 'L2': {'STOP': 6, 'CONTINUE': 6}, 'L3': {'STOP': 9, 'CONTINUE': 7}, 'L4': {'STOP': 11, 'CONTINUE': 19}}",1187,666,873,755,841,497.4102313518524
Ex 5,2249394728.5453997,1902300.0,112374.62142726999,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1
 1 1 0 1 1 1 1 1 1 1 0 0 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 0 1 1 1 1 1
 0 1]",[ 0  2  0 25  0  6  7 26  9 10 11 12 13 14 15 16 17 18 19 20  0 22 23 24],1353,523.0133140087128,"{'L0': {'L0': 35, 'L1': 7, 'L2': 7, 'L3': 3, 'L4': 5}, 'L1': {'L0': 18, 'L1': 1, 'L2': 1, 'L3': 5, 'L4': 3}, 'L2': {'L0': 4, 'L1': 1, 'L2': 2, 'L3': 6, 'L4': 2}, 'L3': {'L0': 2, 'L1': 1, 'L2': 3, 'L3': 2, 'L4': 4}, 'L4': {'L0': 2, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 3}}","{'L0': {'STOP': 53, 'CONTINUE': 39}, 'L1': {'STOP': 24, 'CONTINUE': 6}, 'L2': {'STOP': 11, 'CONTINUE': 4}, 'L3': {'STOP': 8, 'CONTINUE': 10}, 'L4': {'STOP': 5, 'CONTINUE': 9}}",1423,651,721,837,482,509.1287443637848
Ex 5,2279433683.9610157,1859600.0,113878.70419805078,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1
 1 1 0 1 0 1 1 1 1 1 0 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1
 1 1]",[ 0  2  0  4  0  6  7 26  9 10 11 12 13 14 15 28 17 27 19 20 30 22  0 31],1441,532.4664652347565,"{'L0': {'L0': 40, 'L1': 8, 'L2': 3, 'L3': 2, 'L4': 2}, 'L1': {'L0': 13, 'L1': 2, 'L2': 2, 'L3': 3, 'L4': 3}, 'L2': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 2, 'L4': 4}, 'L3': {'L0': 2, 'L1': 5, 'L2': 6, 'L3': 1, 'L4': 2}, 'L4': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 2, 'L4': 1}}","{'L0': {'STOP': 51, 'CONTINUE': 39}, 'L1': {'STOP': 19, 'CONTINUE': 9}, 'L2': {'STOP': 5, 'CONTINUE': 7}, 'L3': {'STOP': 12, 'CONTINUE': 4}, 'L4': {'STOP': 2, 'CONTINUE': 7}}",1540,898,780,747,408,519.5958275794983
Ex 5,2237564057.211974,1757100.0,111790.3478605987,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1
 1 1 0 1 1 1 0 1 0 0 0 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 0 0 0 1 0 1 1 1 1 1
 0 1]",[ 0  2  0  4  0  6  7  8  9 10 11 12 13 14 15 16 17 18 29 20 21  0 23 24],1243,518.8855328559875,"{'L0': {'L0': 10, 'L1': 1, 'L2': 1, 'L3': 5, 'L4': 37}, 'L1': {'L0': 11, 'L1': 1, 'L2': 1, 'L3': 2, 'L4': 9}, 'L2': {'L0': 2, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1}, 'L3': {'L0': 3, 'L1': 2, 'L2': 6, 'L3': 2, 'L4': 1}, 'L4': {'L0': 14, 'L1': 2, 'L2': 2, 'L3': 1, 'L4': 2}}","{'L0': {'STOP': 50, 'CONTINUE': 25}, 'L1': {'STOP': 20, 'CONTINUE': 2}, 'L2': {'STOP': 2, 'CONTINUE': 6}, 'L3': {'STOP': 10, 'CONTINUE': 2}, 'L4': {'STOP': 17, 'CONTINUE': 30}}",1279,627,761,648,732,504.70355129241943
Ex 5,2214812535.3841853,1776900.0,110651.78176920926,"[1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1
 1 1 0 1 1 1 1 1 1 0 0 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 0 0 1 1 0 1 1 1 1 1
 0 1]",[ 0  2  0  4  0  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20  0 22 23 24],1305,506.5172481536865,"{'L0': {'L0': 14, 'L1': 8, 'L2': 11, 'L3': 3, 'L4': 28}, 'L1': {'L0': 12, 'L1': 1, 'L2': 1, 'L3': 3, 'L4': 13}, 'L2': {'L0': 14, 'L1': 2, 'L2': 1, 'L3': 1, 'L4': 1}, 'L3': {'L0': 3, 'L1': 3, 'L2': 5, 'L3': 1, 'L4': 4}, 'L4': {'L0': 3, 'L1': 2, 'L2': 4, 'L3': 2, 'L4': 23}}","{'L0': {'STOP': 60, 'CONTINUE': 33}, 'L1': {'STOP': 26, 'CONTINUE': 9}, 'L2': {'STOP': 15, 'CONTINUE': 12}, 'L3': {'STOP': 12, 'CONTINUE': 4}, 'L4': {'STOP': 30, 'CONTINUE': 36}}",1222,660,769,546,876,492.7562940120697
Ex 5,2218393149.278375,1862700.0,110826.52246391875,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1
 1 1 0 1 1 1 1 1 1 0 0 0 1 1 0 0 1 1 1 1 0 1 1 1 0 1 1 0 0 1 1 0 1 1 1 1 1
 1 1]",[ 0  2  0  4  0  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20  0 22 23 24],1493,506.99800753593445,"{'L0': {'L0': 38, 'L1': 3, 'L2': 5, 'L3': 2, 'L4': 10}, 'L1': {'L0': 13, 'L1': 7, 'L2': 1, 'L3': 1, 'L4': 2}, 'L2': {'L0': 1, 'L1': 2, 'L2': 3, 'L3': 6, 'L4': 2}, 'L3': {'L0': 6, 'L1': 1, 'L2': 6, 'L3': 1, 'L4': 4}, 'L4': {'L0': 2, 'L1': 5, 'L2': 2, 'L3': 1, 'L4': 2}}","{'L0': {'STOP': 54, 'CONTINUE': 37}, 'L1': {'STOP': 20, 'CONTINUE': 10}, 'L2': {'STOP': 10, 'CONTINUE': 6}, 'L3': {'STOP': 14, 'CONTINUE': 5}, 'L4': {'STOP': 8, 'CONTINUE': 9}}",1482,680,783,760,297,493.26802372932434
Ex 5,2278413660.9433336,1845900.0,113828.38804716668,"[1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 0 0 0 1 1 0 1 1 1
 1 1 0 1 1 1 1 1 1 1 0 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1
 1 1]",[ 0  2  0  4  0  6  7 26  9 10 11 12 13 14 15 16 28 18 29 20 21 22  0 31],1488,508.31125378608704,"{'L0': {'L0': 7, 'L1': 3, 'L2': 2, 'L3': 1, 'L4': 53}, 'L1': {'L0': 25, 'L1': 2, 'L2': 2, 'L3': 3, 'L4': 1}, 'L2': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 6, 'L4': 1}, 'L3': {'L0': 2, 'L1': 2, 'L2': 3, 'L3': 1, 'L4': 4}, 'L4': {'L0': 18, 'L1': 4, 'L2': 1, 'L3': 1, 'L4': 12}}","{'L0': {'STOP': 62, 'CONTINUE': 34}, 'L1': {'STOP': 29, 'CONTINUE': 6}, 'L2': {'STOP': 6, 'CONTINUE': 4}, 'L3': {'STOP': 8, 'CONTINUE': 6}, 'L4': {'STOP': 32, 'CONTINUE': 36}}",1062,674,568,786,914,494.53354501724243
