Ex_ID,Best_cost,Constr_cost,Travel_time,Best_lane,Best_station,FW_time
Ex 7,48926181.42193636,0,2446.309071096818,[0 0 0 0 0 0],[0 0 0],0.015628814697265625
Ex 7,50509258.53843381,6000.0,2525.1629269216905,[0 0 0 0 0 0],[1 2 0],0.17179203033447266
Ex 7,50634811.52706154,7000.0,2531.390576353077,[0 0 0 0 0 0],[1 4 0],0.18749070167541504
Ex 7,50493095.44875239,6000.0,2524.3547724376194,[0 0 0 0 0 0],[1 0 3],0.07861948013305664
Ex 7,50591962.8669431,7000.0,2529.248143347155,[0 0 0 0 0 0],[1 0 4],0.06251907348632812
Ex 7,51992081.09070381,9000.0,2599.1540545351904,[0 0 0 0 0 0],[1 2 3],0.10934996604919434
Ex 7,52086505.1471934,10000.0,2603.82525735967,[0 0 0 0 0 0],[1 2 4],0.12493610382080078
Ex 7,52110410.363992825,10000.0,2605.020518199641,[0 0 0 0 0 0],[1 4 3],0.12500572204589844
Ex 7,52204834.42048242,11000.0,2609.691721024121,[0 0 0 0 0 0],[1 4 4],0.10934829711914062
Ex 7,50803205.67584251,20000.0,2539.1602837921255,[1 0 0 0 0 0],[0 0 0],0.031242847442626953
Ex 7,52184572.207344845,26000.0,2607.928610367242,[1 0 0 0 0 0],[1 2 0],0.18745183944702148
Ex 7,52314387.986898445,27000.0,2614.3693993449224,[1 0 0 0 0 0],[1 4 0],0.17184185981750488
Ex 7,52071861.39525196,26000.0,2602.293069762598,[1 0 0 0 0 0],[1 0 3],0.21945786476135254
Ex 7,52192370.785722725,27000.0,2608.2685392861363,[1 0 0 0 0 0],[1 0 4],0.2342839241027832
Ex 7,53459366.13118791,29000.0,2671.5183065593956,[1 0 0 0 0 0],[1 2 3],0.17187190055847168
Ex 7,53573456.43533092,30000.0,2677.172821766546,[1 0 0 0 0 0],[1 2 4],0.18741893768310547
Ex 7,53580479.68255289,30000.0,2677.5239841276443,[1 0 0 0 0 0],[1 4 3],0.15625476837158203
Ex 7,53694569.98669591,31000.0,2683.1784993347956,[1 0 0 0 0 0],[1 4 4],0.15703034400939941
Ex 7,51041188.88571522,15000.0,2551.309444285761,[0 1 0 0 0 0],[0 0 0],0.01562190055847168
Ex 7,52192221.61533045,21000.0,2608.5610807665225,[0 1 0 0 0 0],[1 2 0],0.0624842643737793
Ex 7,52331984.62001131,22000.0,2615.4992310005655,[0 1 0 0 0 0],[1 4 0],0.07810640335083008
Ex 7,52366766.87605948,21000.0,2617.288343802974,[0 1 0 0 0 0],[1 0 3],0.2030785083770752
Ex 7,52483005.8103593,22000.0,2623.050290517965,[0 1 0 0 0 0],[1 0 4],0.21870040893554688
Ex 7,53506658.96255158,24000.0,2674.132948127579,[0 1 0 0 0 0],[1 2 3],0.06248664855957031
Ex 7,53616646.51544721,25000.0,2679.5823257723605,[0 1 0 0 0 0],[1 2 4],0.04686617851257324
Ex 7,53644077.539207436,25000.0,2680.953876960372,[0 1 0 0 0 0],[1 4 3],0.04682326316833496
Ex 7,53754065.09210307,26000.0,2686.4032546051535,[0 1 0 0 0 0],[1 4 4],0.06252193450927734
Ex 7,48944921.34013338,15000.0,2446.496067006669,[0 0 1 0 0 0],[0 0 0],0.015628337860107422
Ex 7,50526479.96777654,21000.0,2525.273998388827,[0 0 1 0 0 0],[1 2 0],0.1562051773071289
Ex 7,50652056.383830115,22000.0,2531.5028191915058,[0 0 1 0 0 0],[1 4 0],0.18817496299743652
Ex 7,50511455.23092937,21000.0,2524.5227615464682,[0 0 1 0 0 0],[1 0 3],0.06248593330383301
Ex 7,50610346.41868047,22000.0,2529.4173209340233,[0 0 1 0 0 0],[1 0 4],0.07810664176940918
Ex 7,52009044.853249244,24000.0,2599.2522426624623,[0 0 1 0 0 0],[1 2 3],0.10935163497924805
Ex 7,52103476.3317435,25000.0,2603.923816587175,[0 0 1 0 0 0],[1 2 4],0.10934734344482422
Ex 7,52127419.64772872,25000.0,2605.120982386436,[0 0 1 0 0 0],[1 4 3],0.10935401916503906
Ex 7,52221851.126222976,26000.0,2609.792556311149,[0 0 1 0 0 0],[1 4 4],0.12494206428527832
Ex 7,48958529.116418034,15000.0,2447.1764558209015,[0 0 0 1 0 0],[0 0 0],0.031230926513671875
Ex 7,50547928.37358614,21000.0,2526.346418679307,[0 0 0 1 0 0],[1 2 0],0.23516154289245605
Ex 7,50673475.803253844,22000.0,2532.573790162692,[0 0 0 1 0 0],[1 4 0],0.23435640335083008
Ex 7,50415030.346246265,21000.0,2519.701517312313,[0 0 0 1 0 0],[1 0 3],0.1456742286682129
Ex 7,50527350.52475425,22000.0,2525.2675262377124,[0 0 0 1 0 0],[1 0 4],0.18742060661315918
Ex 7,51960907.66783101,24000.0,2596.8453833915505,[0 0 0 1 0 0],[1 2 3],0.24997687339782715
Ex 7,52067957.27453392,25000.0,2602.147863726696,[0 0 0 1 0 0],[1 2 4],0.22980141639709473
Ex 7,52079477.08944415,25000.0,2602.7238544722077,[0 0 0 1 0 0],[1 4 3],0.23428606986999512
