Ex_ID,sita,Best_cost,Constr_cost,Travel_time,Best_lane,Best_station,FW_time,Bike_flow
Ex 70,sita 0.1,48926181.42193636,0,2446.309071096818,[0 0 0 0 0 0],[0 0 0],0.010009527206420898,"{'N001': {'N002': 0, 'N003': 0}}"
Ex 70,sita 0.2,48926181.42193636,0,2446.309071096818,[0 0 0 0 0 0],[0 0 0],0.010970592498779297,"{'N001': {'N002': 0, 'N003': 0}}"
Ex 70,sita 0.30000000000000004,48926181.42193636,0,2446.309071096818,[0 0 0 0 0 0],[0 0 0],0.010968923568725586,"{'N001': {'N002': 0, 'N003': 0}}"
Ex 70,sita 0.4,48926181.42193636,0,2446.309071096818,[0 0 0 0 0 0],[0 0 0],0.010968685150146484,"{'N001': {'N002': 0, 'N003': 0}}"
Ex 70,sita 0.5,48926181.42193636,0,2446.309071096818,[0 0 0 0 0 0],[0 0 0],0.010929584503173828,"{'N001': {'N002': 0, 'N003': 0}}"
Ex 70,sita 0.6000000000000001,48926181.42193636,0,2446.309071096818,[0 0 0 0 0 0],[0 0 0],0.01096963882446289,"{'N001': {'N002': 0, 'N003': 0}}"
Ex 70,sita 0.7000000000000001,48926181.42193636,0,2446.309071096818,[0 0 0 0 0 0],[0 0 0],0.011012077331542969,"{'N001': {'N002': 0, 'N003': 0}}"
Ex 70,sita 0.8,48926181.42193636,0,2446.309071096818,[0 0 0 0 0 0],[0 0 0],0.010970830917358398,"{'N001': {'N002': 0, 'N003': 0}}"
Ex 70,sita 0.9,48926181.42193636,0,2446.309071096818,[0 0 0 0 0 0],[0 0 0],0.010976076126098633,"{'N001': {'N002': 0, 'N003': 0}}"
Ex 70,sita 1.0,48926181.42193636,0,2446.309071096818,[0 0 0 0 0 0],[0 0 0],0.010969877243041992,"{'N001': {'N002': 0, 'N003': 0}}"
Ex 70,sita 1.1,48926181.42193636,0,2446.309071096818,[0 0 0 0 0 0],[0 0 0],0.010975122451782227,"{'N001': {'N002': 0, 'N003': 0}}"
Ex 70,sita 1.2000000000000002,48926181.42193636,0,2446.309071096818,[0 0 0 0 0 0],[0 0 0],0.01098775863647461,"{'N001': {'N002': 0, 'N003': 0}}"
Ex 70,sita 1.3,48926181.42193636,0,2446.309071096818,[0 0 0 0 0 0],[0 0 0],0.01097249984741211,"{'N001': {'N002': 0, 'N003': 0}}"
Ex 70,sita 1.4000000000000001,48926181.42193636,0,2446.309071096818,[0 0 0 0 0 0],[0 0 0],0.011108636856079102,"{'N001': {'N002': 0, 'N003': 0}}"
Ex 70,sita 1.5,48926181.42193636,0,2446.309071096818,[0 0 0 0 0 0],[0 0 0],0.011931419372558594,"{'N001': {'N002': 0, 'N003': 0}}"
Ex 70,sita 1.6,48926181.42193636,0,2446.309071096818,[0 0 0 0 0 0],[0 0 0],0.011006593704223633,"{'N001': {'N002': 0, 'N003': 0}}"
Ex 70,sita 1.7000000000000002,48926181.42193636,0,2446.309071096818,[0 0 0 0 0 0],[0 0 0],0.010974645614624023,"{'N001': {'N002': 0, 'N003': 0}}"
Ex 70,sita 1.8,48926181.42193636,0,2446.309071096818,[0 0 0 0 0 0],[0 0 0],0.011966705322265625,"{'N001': {'N002': 0, 'N003': 0}}"
Ex 70,sita 1.9000000000000001,48926181.42193636,0,2446.309071096818,[0 0 0 0 0 0],[0 0 0],0.010970115661621094,"{'N001': {'N002': 0, 'N003': 0}}"
Ex 70,sita 2.0,48926181.42193636,0,2446.309071096818,[0 0 0 0 0 0],[0 0 0],0.011008262634277344,"{'N001': {'N002': 0, 'N003': 0}}"
Ex 70,sita 2.1,48926181.42193636,0,2446.309071096818,[0 0 0 0 0 0],[0 0 0],0.011008977890014648,"{'N001': {'N002': 0, 'N003': 0}}"
