Ex_ID,Best_cost,Constr_cost,Travel_time,Best_lane,Best_station,FW_time
Ex 12,449519413.5661012,0,22475.97067830506,[0 0 0 0 0 0],[0 0 0],0.015584230422973633
Ex 12,357555692.9225359,6000.0,17877.484646126795,[0 0 0 0 0 0],[1 2 0],0.5732896327972412
Ex 12,360271020.5054413,7000.0,18013.201025272065,[0 0 0 0 0 0],[1 4 0],0.527554988861084
Ex 12,370647138.92338073,6000.0,18532.056946169036,[0 0 0 0 0 0],[1 0 3],0.5766873359680176
Ex 12,373118739.9326042,7000.0,18655.58699663021,[0 0 0 0 0 0],[1 0 4],0.5164492130279541
Ex 12,305968358.5729225,9000.0,15297.967928646127,[0 0 0 0 0 0],[1 2 3],0.5404715538024902
Ex 12,308387026.3918724,10000.0,15418.851319593621,[0 0 0 0 0 0],[1 2 4],0.42783379554748535
Ex 12,308630483.78437686,10000.0,15431.024189218842,[0 0 0 0 0 0],[1 4 3],0.42954015731811523
Ex 12,311049151.6033268,11000.0,15551.90758016634,[0 0 0 0 0 0],[1 4 4],0.37613773345947266
Ex 12,462750320.91644186,20000.0,23136.516045822093,[1 0 0 0 0 0],[0 0 0],0.01013326644897461
Ex 12,365143236.0089511,26000.0,18255.861800447557,[1 0 0 0 0 0],[1 2 0],0.5081124305725098
Ex 12,367867444.63319165,27000.0,18392.022231659583,[1 0 0 0 0 0],[1 4 0],0.8552970886230469
Ex 12,367852058.12420636,26000.0,18391.30290621032,[1 0 0 0 0 0],[1 0 3],0.6334469318389893
Ex 12,370357486.55547017,27000.0,18516.52432777351,[1 0 0 0 0 0],[1 0 4],0.6056613922119141
Ex 12,299763525.71745133,29000.0,14986.726285872566,[1 0 0 0 0 0],[1 2 3],0.33165979385375977
Ex 12,302211595.92988265,30000.0,15109.079796494132,[1 0 0 0 0 0],[1 2 4],0.6717183589935303
Ex 12,302432546.0164221,30000.0,15120.127300821105,[1 0 0 0 0 0],[1 4 3],0.37572455406188965
Ex 12,304880616.22885334,31000.0,15242.480811442667,[1 0 0 0 0 0],[1 4 4],0.3592853546142578
Ex 12,463349085.8030149,15000.0,23166.704290150745,[0 1 0 0 0 0],[0 0 0],0.015625
Ex 12,356581554.00238717,21000.0,17828.027700119357,[0 1 0 0 0 0],[1 2 0],0.46935462951660156
Ex 12,359325403.68014103,22000.0,17965.170184007053,[0 1 0 0 0 0],[1 4 0],0.49987316131591797
Ex 12,371150161.67360365,21000.0,18556.458083680183,[0 1 0 0 0 0],[1 0 3],0.39049458503723145
Ex 12,373648823.9703078,22000.0,18681.34119851539,[0 1 0 0 0 0],[1 0 4],0.32926130294799805
Ex 12,294143594.83337736,24000.0,14705.979741668869,[0 1 0 0 0 0],[1 2 3],0.24994492530822754
Ex 12,296588058.31858546,25000.0,14828.152915929273,[0 1 0 0 0 0],[1 2 4],0.23432064056396484
Ex 12,296831106.70299464,25000.0,14840.305335149733,[0 1 0 0 0 0],[1 4 3],0.2344207763671875
Ex 12,299275570.1882027,26000.0,14962.478509410133,[0 1 0 0 0 0],[1 4 4],0.2343578338623047
Ex 12,451775141.9447824,15000.0,22588.00709723912,[0 0 1 0 0 0],[0 0 0],0.015619754791259766
