Ex_ID,Best_cost,Constr_cost,Travel_time,Best_lane,Best_station,Best_iter,CPU_time,TM,SM,LO,L1,L2,L3,L4,L5,L6,L7,bike flow,acc_time,total_generations
Ex 3,1014765089.2429311,618800,50707.314462146554,[0 0 0 0 0 1 1 1 1 1 1 1 0 0 0 1 1 1 1],[1 1 1 1],454,300.47577571868896,"{'L0': {'L0': 3, 'L1': 5, 'L2': 1, 'L3': 1, 'L4': 4, 'L5': 1, 'L6': 1, 'L7': 1}, 'L1': {'L0': 1, 'L1': 1, 'L2': 3, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 4}, 'L2': {'L0': 2, 'L1': 1, 'L2': 1, 'L3': 2, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 2}, 'L3': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 2, 'L5': 1, 'L6': 1, 'L7': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 4}, 'L5': {'L0': 1, 'L1': 2, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L6': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 2}, 'L7': {'L0': 2, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 2, 'L5': 2, 'L6': 2, 'L7': 1}}","{'L0': {'CONTINUE': 10, 'STOP': 4}, 'L1': {'CONTINUE': 6, 'STOP': 3}, 'L2': {'CONTINUE': 4, 'STOP': 3}, 'L3': {'CONTINUE': 3, 'STOP': 1}, 'L4': {'CONTINUE': 5, 'STOP': 4}, 'L5': {'CONTINUE': 2, 'STOP': 2}, 'L6': {'CONTINUE': 2, 'STOP': 1}, 'L7': {'CONTINUE': 5, 'STOP': 5}}",222,221,227,191,245,188,211,207,"{'N001': {'N002': 2844.8320616639453, 'N003': 1129.9097583978348}, 'N004': {'N002': 2321.517893015116, 'N003': 952.1701521464189}}","[0, 3, 4, 7, 23, 30, 60, 66, 78, 84, 85, 86, 91, 302, 375, 454]",639
Ex 3,1013582009.084797,700500,50644.07545423985,[0 0 0 0 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1],[1 1 1 1],388,300.6006875038147,"{'L0': {'L0': 1, 'L1': 2, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 3, 'L7': 4}, 'L1': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 2, 'L5': 2, 'L6': 1, 'L7': 3}, 'L2': {'L0': 2, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 4}, 'L3': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L4': {'L0': 3, 'L1': 2, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 2}, 'L5': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 2, 'L5': 2, 'L6': 1, 'L7': 2}, 'L6': {'L0': 3, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 3, 'L7': 1}, 'L7': {'L0': 1, 'L1': 1, 'L2': 3, 'L3': 1, 'L4': 2, 'L5': 2, 'L6': 2, 'L7': 3}}","{'L0': {'CONTINUE': 8, 'STOP': 4}, 'L1': {'CONTINUE': 6, 'STOP': 3}, 'L2': {'CONTINUE': 6, 'STOP': 3}, 'L3': {'CONTINUE': 1, 'STOP': 1}, 'L4': {'CONTINUE': 5, 'STOP': 3}, 'L5': {'CONTINUE': 4, 'STOP': 3}, 'L6': {'CONTINUE': 5, 'STOP': 3}, 'L7': {'CONTINUE': 8, 'STOP': 6}}",217,203,198,183,196,195,260,195,"{'N001': {'N002': 2841.850821009489, 'N003': 1149.931287826306}, 'N004': {'N002': 2321.2616966216497, 'N003': 968.441618658079}}","[0, 1, 5, 8, 18, 23, 28, 29, 42, 47, 80, 83, 115, 133, 136, 154, 169, 262, 388]",636
Ex 3,1012675761.1913776,583800,50604.59805956888,[1 0 0 0 0 1 1 1 0 0 0 1 1 0 1 1 1 0 1],[1 1 1 1],291,300.8975307941437,"{'L0': {'L0': 4, 'L1': 1, 'L2': 3, 'L3': 1, 'L4': 1, 'L5': 2, 'L6': 2, 'L7': 4}, 'L1': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 4}, 'L2': {'L0': 1, 'L1': 3, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 1}, 'L3': {'L0': 2, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L5': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 2, 'L6': 2, 'L7': 1}, 'L6': {'L0': 3, 'L1': 3, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 2}, 'L7': {'L0': 1, 'L1': 3, 'L2': 1, 'L3': 2, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}}","{'L0': {'CONTINUE': 11, 'STOP': 4}, 'L1': {'CONTINUE': 5, 'STOP': 5}, 'L2': {'CONTINUE': 4, 'STOP': 4}, 'L3': {'CONTINUE': 3, 'STOP': 1}, 'L4': {'CONTINUE': 2, 'STOP': 1}, 'L5': {'CONTINUE': 3, 'STOP': 2}, 'L6': {'CONTINUE': 7, 'STOP': 3}, 'L7': {'CONTINUE': 4, 'STOP': 5}}",240,220,214,214,194,208,232,127,"{'N001': {'N002': 2953.9734422046663, 'N003': 996.3911752160284}, 'N004': {'N002': 2284.457299316685, 'N003': 834.4597451217106}}","[0, 13, 20, 21, 24, 32, 48, 54, 58, 75, 80, 156, 185, 195, 231, 243, 255, 291]",626
Ex 3,1015074775.387525,840500,50711.71376937625,[1 1 0 0 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1],[1 1 1 1],646,300.80376410484314,"{'L0': {'L0': 2, 'L1': 2, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 3, 'L6': 1, 'L7': 2}, 'L1': {'L0': 1, 'L1': 2, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 2, 'L6': 1, 'L7': 2}, 'L2': {'L0': 3, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 3, 'L5': 2, 'L6': 1, 'L7': 3}, 'L3': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L4': {'L0': 3, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 4}, 'L5': {'L0': 4, 'L1': 1, 'L2': 3, 'L3': 1, 'L4': 2, 'L5': 1, 'L6': 1, 'L7': 1}, 'L6': {'L0': 4, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L7': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 3, 'L5': 2, 'L6': 1, 'L7': 1}}","{'L0': {'CONTINUE': 7, 'STOP': 7}, 'L1': {'CONTINUE': 4, 'STOP': 2}, 'L2': {'CONTINUE': 8, 'STOP': 4}, 'L3': {'CONTINUE': 2, 'STOP': 1}, 'L4': {'CONTINUE': 6, 'STOP': 2}, 'L5': {'CONTINUE': 7, 'STOP': 4}, 'L6': {'CONTINUE': 4, 'STOP': 1}, 'L7': {'CONTINUE': 4, 'STOP': 5}}",308,196,248,201,216,268,190,140,"{'N001': {'N002': 2977.3541370095136, 'N003': 1185.1941595315673}, 'N004': {'N002': 2324.672957566221, 'N003': 988.88411228699}}","[0, 15, 27, 33, 38, 40, 42, 47, 52, 53, 56, 60, 73, 75, 77, 84, 110, 294, 646]",651
Ex 3,1013582009.084797,700500,50644.07545423985,[0 0 0 0 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1],[1 1 1 1],542,300.63203406333923,"{'L0': {'L0': 1, 'L1': 2, 'L2': 7, 'L3': 1, 'L4': 2, 'L5': 1, 'L6': 1, 'L7': 3}, 'L1': {'L0': 2, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 8, 'L5': 1, 'L6': 1, 'L7': 1}, 'L2': {'L0': 3, 'L1': 1, 'L2': 3, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 6}, 'L3': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L4': {'L0': 4, 'L1': 3, 'L2': 1, 'L3': 1, 'L4': 3, 'L5': 1, 'L6': 1, 'L7': 1}, 'L5': {'L0': 1, 'L1': 2, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 2, 'L6': 2, 'L7': 2}, 'L6': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 2}, 'L7': {'L0': 3, 'L1': 2, 'L2': 1, 'L3': 1, 'L4': 2, 'L5': 1, 'L6': 1, 'L7': 1}}","{'L0': {'CONTINUE': 11, 'STOP': 7}, 'L1': {'CONTINUE': 9, 'STOP': 5}, 'L2': {'CONTINUE': 10, 'STOP': 3}, 'L3': {'CONTINUE': 1, 'STOP': 1}, 'L4': {'CONTINUE': 8, 'STOP': 9}, 'L5': {'CONTINUE': 5, 'STOP': 1}, 'L6': {'CONTINUE': 2, 'STOP': 1}, 'L7': {'CONTINUE': 5, 'STOP': 6}}",257,252,238,177,303,175,186,169,"{'N001': {'N002': 2841.850821009489, 'N003': 1149.931287826306}, 'N004': {'N002': 2321.2616966216497, 'N003': 968.441618658079}}","[0, 7, 8, 9, 14, 15, 18, 20, 21, 31, 32, 40, 70, 84, 104, 108, 113, 136, 141, 144, 240, 270, 280, 291, 522, 542]",655
Ex 3,1015004426.8581828,630500,50718.69634290914,[1 0 0 0 0 1 1 1 1 1 1 0 0 0 0 1 1 1 1],[1 1 1 1],287,300.8507170677185,"{'L0': {'L0': 1, 'L1': 1, 'L2': 4, 'L3': 1, 'L4': 2, 'L5': 2, 'L6': 1, 'L7': 1}, 'L1': {'L0': 4, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L2': {'L0': 1, 'L1': 2, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 2, 'L6': 2, 'L7': 2}, 'L3': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L4': {'L0': 2, 'L1': 2, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 2, 'L6': 1, 'L7': 3}, 'L5': {'L0': 1, 'L1': 1, 'L2': 4, 'L3': 1, 'L4': 1, 'L5': 4, 'L6': 1, 'L7': 1}, 'L6': {'L0': 4, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 3, 'L5': 1, 'L6': 1, 'L7': 1}, 'L7': {'L0': 2, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 2}}","{'L0': {'CONTINUE': 6, 'STOP': 7}, 'L1': {'CONTINUE': 4, 'STOP': 3}, 'L2': {'CONTINUE': 5, 'STOP': 4}, 'L3': {'CONTINUE': 2, 'STOP': 1}, 'L4': {'CONTINUE': 6, 'STOP': 2}, 'L5': {'CONTINUE': 7, 'STOP': 3}, 'L6': {'CONTINUE': 6, 'STOP': 2}, 'L7': {'CONTINUE': 3, 'STOP': 3}}",250,185,264,179,193,237,208,121,"{'N001': {'N002': 2991.757104907672, 'N003': 1152.3872903630347}, 'N004': {'N002': 2302.368610809096, 'N003': 952.9008699279957}}","[0, 3, 4, 9, 11, 12, 14, 16, 39, 46, 59, 60, 76, 82, 172, 174, 284, 287]",633
Ex 3,1014765089.2429311,618800,50707.314462146554,[0 0 0 0 0 1 1 1 1 1 1 1 0 0 0 1 1 1 1],[1 1 1 1],614,301.06948709487915,"{'L0': {'L0': 4, 'L1': 3, 'L2': 3, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 3, 'L7': 1}, 'L1': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 4, 'L5': 1, 'L6': 1, 'L7': 1}, 'L2': {'L0': 4, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 3}, 'L3': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 2, 'L5': 2, 'L6': 1, 'L7': 3}, 'L5': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 4, 'L5': 1, 'L6': 1, 'L7': 1}, 'L6': {'L0': 3, 'L1': 2, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L7': {'L0': 1, 'L1': 2, 'L2': 2, 'L3': 1, 'L4': 2, 'L5': 1, 'L6': 1, 'L7': 1}}","{'L0': {'CONTINUE': 10, 'STOP': 5}, 'L1': {'CONTINUE': 4, 'STOP': 4}, 'L2': {'CONTINUE': 6, 'STOP': 3}, 'L3': {'CONTINUE': 1, 'STOP': 1}, 'L4': {'CONTINUE': 5, 'STOP': 7}, 'L5': {'CONTINUE': 4, 'STOP': 2}, 'L6': {'CONTINUE': 5, 'STOP': 2}, 'L7': {'CONTINUE': 4, 'STOP': 2}}",306,250,210,195,243,181,174,136,"{'N001': {'N002': 2844.8320616639453, 'N003': 1129.9097583978348}, 'N004': {'N002': 2321.517893015116, 'N003': 952.1701521464189}}","[0, 1, 2, 3, 5, 9, 10, 15, 16, 19, 27, 53, 90, 113, 404, 415, 429, 611, 614]",616
Ex 3,1015074775.387525,840500,50711.71376937625,[1 1 0 0 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1],[1 1 1 1],96,300.8039882183075,"{'L0': {'L0': 1, 'L1': 1, 'L2': 4, 'L3': 1, 'L4': 4, 'L5': 1, 'L6': 1, 'L7': 2}, 'L1': {'L0': 2, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L2': {'L0': 8, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 2}, 'L3': {'L0': 2, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 2, 'L5': 1, 'L6': 1, 'L7': 2}, 'L5': {'L0': 1, 'L1': 3, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L6': {'L0': 3, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 3}, 'L7': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 2}}","{'L0': {'CONTINUE': 8, 'STOP': 7}, 'L1': {'CONTINUE': 3, 'STOP': 2}, 'L2': {'CONTINUE': 9, 'STOP': 5}, 'L3': {'CONTINUE': 2, 'STOP': 1}, 'L4': {'CONTINUE': 3, 'STOP': 3}, 'L5': {'CONTINUE': 3, 'STOP': 1}, 'L6': {'CONTINUE': 5, 'STOP': 1}, 'L7': {'CONTINUE': 3, 'STOP': 5}}",306,217,221,178,266,182,179,156,"{'N001': {'N002': 2977.3541370095136, 'N003': 1185.1941595315673}, 'N004': {'N002': 2324.672957566221, 'N003': 988.88411228699}}","[0, 7, 14, 15, 18, 21, 22, 28, 29, 31, 33, 36, 52, 54, 62, 77, 78, 96]",621
Ex 3,1012675761.1913776,583800,50604.59805956888,[1 0 0 0 0 1 1 1 0 0 0 1 1 0 1 1 1 0 1],[1 1 1 1],303,300.8414845466614,"{'L0': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 3}, 'L1': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 2}, 'L2': {'L0': 1, 'L1': 2, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 6}, 'L3': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 2}, 'L5': {'L0': 3, 'L1': 2, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 2}, 'L6': {'L0': 1, 'L1': 2, 'L2': 1, 'L3': 1, 'L4': 2, 'L5': 1, 'L6': 1, 'L7': 1}, 'L7': {'L0': 1, 'L1': 1, 'L2': 3, 'L3': 1, 'L4': 2, 'L5': 4, 'L6': 1, 'L7': 1}}","{'L0': {'CONTINUE': 5, 'STOP': 2}, 'L1': {'CONTINUE': 3, 'STOP': 3}, 'L2': {'CONTINUE': 7, 'STOP': 4}, 'L3': {'CONTINUE': 1, 'STOP': 1}, 'L4': {'CONTINUE': 2, 'STOP': 2}, 'L5': {'CONTINUE': 6, 'STOP': 2}, 'L6': {'CONTINUE': 3, 'STOP': 3}, 'L7': {'CONTINUE': 7, 'STOP': 5}}",219,220,223,203,180,197,199,212,"{'N001': {'N002': 2953.9734422046663, 'N003': 996.3911752160284}, 'N004': {'N002': 2284.457299316685, 'N003': 834.4597451217106}}","[0, 2, 12, 18, 21, 40, 49, 51, 54, 55, 76, 90, 113, 179, 303]",619
Ex 3,1015074775.387525,840500,50711.71376937625,[1 1 0 0 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1],[1 1 1 1],93,300.91311621665955,"{'L0': {'L0': 4, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 3, 'L7': 3}, 'L1': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 2}, 'L2': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 3}, 'L3': {'L0': 3, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L5': {'L0': 2, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L6': {'L0': 4, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 2}, 'L7': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 3, 'L7': 1}}","{'L0': {'CONTINUE': 8, 'STOP': 5}, 'L1': {'CONTINUE': 3, 'STOP': 1}, 'L2': {'CONTINUE': 3, 'STOP': 2}, 'L3': {'CONTINUE': 3, 'STOP': 1}, 'L4': {'CONTINUE': 1, 'STOP': 1}, 'L5': {'CONTINUE': 2, 'STOP': 1}, 'L6': {'CONTINUE': 6, 'STOP': 3}, 'L7': {'CONTINUE': 4, 'STOP': 4}}",309,219,175,205,194,189,252,178,"{'N001': {'N002': 2977.3541370095136, 'N003': 1185.1941595315673}, 'N004': {'N002': 2324.672957566221, 'N003': 988.88411228699}}","[0, 5, 17, 18, 24, 25, 34, 40, 58, 62, 93]",651
